Time	ID	Naive exposed	Naive infected	Focal exposed	Focal infected
29.2974	5658	0	0	0	0
29.3117	1679	5	2	0	0
29.3137	9468	2	0	1	0
29.322	8662	6	1	2	1
29.3416	3966	1	0	1	0
29.3456	9536	3	1	2	0
29.3777	3528	4	0	1	0
29.391	3495	1	0	1	0
29.4159	4427	2	1	0	0
29.4181	1856	3	1	0	0
29.4221	7368	1	0	2	0
29.4263	927	0	0	0	0
29.4263	4621	1	0	1	1
29.4377	6532	0	0	0	0
29.4567	7141	3	1	0	0
29.468	690	2	0	2	0
29.4809	4678	9	2	6	2
29.5419	8774	0	0	1	0
29.5587	8539	2	0	1	0
29.5668	1946	14	3	1	1
29.571	5983	15	5	5	0
29.5735	766	3	2	2	0
29.5906	7690	3	2	1	0
29.5912	4557	0	0	1	0
29.5999	3262	2	1	3	0
29.6029	6301	17	5	1	0
29.6063	4718	6	1	2	0
29.6239	8032	4	0	1	0
29.6682	4532	3	0	4	0
29.6737	287	1	0	0	0
29.6799	7087	7	1	2	0
29.683	8802	2	1	0	0
29.6906	3601	0	0	0	0
29.715	9624	5	1	1	0
29.7155	9960	3	0	2	0
29.7215	6605	3	0	7	1
29.7281	3324	0	0	0	0
29.7556	1528	0	0	0	0
29.7709	23	5	2	5	0
29.7728	3019	9	2	4	0
29.7887	7809	0	0	0	0
29.7895	7440	1	0	0	0
29.7997	3241	1	1	2	0
29.8066	6614	1	0	2	0
29.8162	2990	0	0	0	0
29.8163	8564	3	0	2	0
29.8204	1422	9	2	2	1
29.8211	5555	1	0	0	0
29.8302	9292	0	0	0	0
29.855	6213	1	0	1	0
29.8566	3335	1	0	1	0
29.8596	2350	5	1	2	0
29.8606	2365	0	0	0	0
29.8627	4296	2	2	1	0
29.865	2547	7	2	1	0
29.8833	7234	1	0	2	0
29.8879	1909	8	2	5	1
29.9079	6609	0	0	0	0
29.9126	4680	3	1	2	0
29.9144	9546	0	0	1	1
29.9345	8916	1	0	1	0
29.9359	1872	1	0	1	0
29.9599	5831	3	0	0	0
29.9748	193	0	0	1	0
29.9755	2011	6	0	1	1
30.0306	9789	5	1	4	2
30.0311	6790	2	1	1	0
30.0319	9213	0	0	2	0
30.0401	8972	1	1	1	0
30.0437	1395	1	0	1	1
30.0526	5270	1	0	1	0
30.0538	4527	6	1	5	0
30.06	2320	6	3	0	0
30.0619	7018	2	0	1	1
30.0626	1635	5	0	3	0
30.0888	7184	0	0	0	0
30.0946	44	1	0	2	0
30.0949	3413	1	1	1	0
30.095	5271	0	0	0	0
30.0952	4161	7	0	4	0
30.1068	7619	2	1	3	0
30.1197	7523	8	1	3	0
30.127	1844	2	0	0	0
30.1541	2248	1	0	4	1
30.1623	144	1	0	1	0
30.167	8498	0	0	1	0
30.1693	5798	1	0	1	1
30.1907	2982	3	0	1	0
30.219	3764	1	1	0	0
30.2262	9208	2	0	1	0
30.2396	5354	1	0	1	1
30.2474	2519	0	0	0	0
30.256	1741	0	0	0	0
30.2603	5225	6	3	1	0
30.2668	4912	0	0	1	0
30.2716	5292	10	6	3	0
30.3099	4710	12	1	3	2
30.3205	9134	13	2	2	2
30.3382	8882	0	0	0	0
30.3528	7855	3	2	4	0
30.3536	1496	0	0	0	0
30.3543	5325	2	0	0	0
30.356	233	2	1	0	0
30.3845	8057	1	0	0	0
30.4155	7181	1	0	1	0
30.4187	9601	2	1	3	0
30.4249	7377	1	0	2	0
30.4371	643	1	0	0	0
30.439	7640	0	0	0	0
30.4486	949	3	1	4	0
30.4563	4083	0	0	1	1
