"num_exps","risks","inf"
"570",2,0.299349759764515,0
"571",2,0.232255863304237,0
"572",2,0.0431308151122587,0
"573",2,0.00488979379553457,0
"574",2,0.479889103340778,0
"575",2,0.0122003046086836,0
"576",2,0.141576506081846,0
"577",2,0.23092401144041,0
"578",1,0.145232440617012,0
"579",1,0.95217391003033,0
"580",2,0.000628296755396305,0
"581",3,0.689279061374468,1
"582",2,0.00206475577044222,0
"583",1,0.226407465428534,0
"584",4,0.149097538443315,0
"585",1,0.0267501811675867,0
"586",3,0.50220364513408,0
"587",1,0.108793880001581,0
"588",3,0.132494674530537,0
"589",1,0.00239865219555712,0
"590",1,0.0567244654392689,0
"591",1,0.017659028737737,0
"592",1,0.161058733189433,1
"593",1,0.0125168756460525,0
"594",1,0.0543783292860857,0
"595",2,0.727332714257493,1
"596",2,0.00141947266157208,0
"597",2,1.30931148536222,1
"598",1,0.0724952203045712,0
"599",4,0.15265505020466,0
"600",3,0.205257359242199,0
"601",2,0.0306155636495053,0
"602",1,0.484391476430434,0
"603",3,0.590334849929191,1
"604",2,0.0661965701819898,0
"605",2,0.12740447457217,0
"606",1,0.0653269704610594,0
"607",2,0.306986756984463,0
"608",3,0.00989785477943411,0
"609",1,0.284918652255503,0
"610",2,0.00422117366581314,0
"611",2,8.21029839791029e-05,0
"612",2,0.228374839068278,1
"613",2,0.161024945033594,0
"614",1,0.0927083666500024,1
"615",4,0.0239541207136066,0
"616",1,0.00864332758048475,0
"617",2,0.095751246831016,0
"618",2,0.0569116921008858,0
"619",1,0.0843524533093298,0
"620",3,0.0107489737430018,0
"621",1,0.283067449203585,0
"622",3,0.0293225213644179,0
"623",2,0.00442897273480998,0
"624",1,0.23207132834754,0
"625",3,0.0673468197875233,0
"626",2,0.0545207922018439,0
"627",1,0.0390791461890109,0
"628",1,0.0268881777802804,0
"629",2,0.000134694339167194,0
"630",3,0.00641167642856988,0
"631",5,0.109618033521477,0
"632",2,0.000932494147438317,0
"633",2,0.0421110884294291,0
"634",2,0.1540031409954,0
"635",3,0.263321449850115,0
"636",1,0.393016808502741,1
"637",2,0.501902247576565,0
"638",2,0.0422760030914817,0
"639",3,0.0760102614697558,0
"640",1,0.0411897840581883,0
"641",3,0.0241139039534241,0
"642",2,0.248203463663281,0
"643",2,0.253780814278932,0
"644",2,0.0371745977864241,0
"645",1,0.303284881687246,0
"646",2,0.0115369004627762,0
"647",1,0.0555981191436169,0
"648",2,0.341390387577823,1
"649",1,0.00690510612630009,0
"650",2,0.429930725332701,0
"651",1,0.0345762317966549,0
"652",3,0.287365089974559,0
"653",2,0.0197773801545812,0
"654",1,0.162051608181107,0
"655",1,0.127208221654924,0
"656",4,0.477475551072797,0
"657",1,0.29407808096997,0
"658",2,0.0260278222501885,0
"659",1,0.081729878370791,0
"660",4,0.0681549793094735,0
"661",2,0.104510896373791,0
"662",2,0.267853001816624,0
"663",2,0.00826146735108155,0
"664",1,0.0191193187651963,0
"665",1,0.0018627358226217,0
"666",2,0.324702481176178,0
