"","V1","V2","V3"
"29",0.58,0.28,9.8
"30",0.6,0.28,11
"31",0.62,0.28,13.1
"32",0.64,0.28,12.7
"33",0.66,0.28,14.5
"34",0.68,0.28,16.6
"35",0.7,0.28,18.4
"36",0.72,0.28,17.7
"37",0.74,0.28,18.1
"38",0.76,0.28,22.2
"39",0.78,0.28,22.9
"40",0.8,0.28,25
"41",0.82,0.28,28.7
"42",0.84,0.28,33.1
"43",0.86,0.28,35.7
"44",0.88,0.28,43.4
"45",0.9,0.28,48.9
"46",0.92,0.28,55.7
"47",0.94,0.28,65
"48",0.96,0.28,73.9
"49",0.98,0.28,77.5
"","V1","V2","V3"
"1",0.02,0.3,6.1
"2",0.04,0.3,5.4
"3",0.06,0.3,5.6
"4",0.08,0.3,6.1
"5",0.1,0.3,4.7
"6",0.12,0.3,7.2
"7",0.14,0.3,4.9
"8",0.16,0.3,6.4
"9",0.18,0.3,5.1
"10",0.2,0.3,6.2
"11",0.22,0.3,6.8
"12",0.24,0.3,4.5
"13",0.26,0.3,5.9
"14",0.28,0.3,4.1
"15",0.3,0.3,5.2
"16",0.32,0.3,4.9
"17",0.34,0.3,7.2
"18",0.36,0.3,6.2
"19",0.38,0.3,7
"20",0.4,0.3,6.5
"21",0.42,0.3,7.2
"22",0.44,0.3,8.9
"23",0.46,0.3,7.7
"24",0.48,0.3,8.5
"25",0.5,0.3,8.7
"26",0.52,0.3,9.9
"27",0.54,0.3,8.3
"28",0.56,0.3,11.1
"29",0.58,0.3,13.1
"30",0.6,0.3,14.4
"31",0.62,0.3,13
"32",0.64,0.3,15.7
"33",0.66,0.3,14.6
"34",0.68,0.3,15.4
"35",0.7,0.3,19.6
"36",0.72,0.3,19.3
"37",0.74,0.3,22.1
"38",0.76,0.3,24.3
"39",0.78,0.3,24.9
"40",0.8,0.3,25.9
"41",0.82,0.3,29.8
"42",0.84,0.3,31.1
"43",0.86,0.3,37.1
"44",0.88,0.3,42.1
"45",0.9,0.3,48.2
"46",0.92,0.3,56.7
"47",0.94,0.3,65.1
"48",0.96,0.3,73.4
"49",0.98,0.3,79
"","V1","V2","V3"
"1",0.02,0.32,4.2
"2",0.04,0.32,6.7
"3",0.06,0.32,4.9
"4",0.08,0.32,4.7
"5",0.1,0.32,4.9
"6",0.12,0.32,6.6
"7",0.14,0.32,4.5
"8",0.16,0.32,5.4
"9",0.18,0.32,4
"10",0.2,0.32,7.2
"11",0.22,0.32,5.6
"12",0.24,0.32,5.9
"13",0.26,0.32,6.2
"14",0.28,0.32,7.5
"15",0.3,0.32,6.6
"16",0.32,0.32,6.3
"17",0.34,0.32,4.4
"18",0.36,0.32,7.9
"19",0.38,0.32,8.7
"20",0.4,0.32,10.6
"21",0.42,0.32,7.2
"22",0.44,0.32,7.7
"23",0.46,0.32,7.3
"24",0.48,0.32,8.9
"25",0.5,0.32,9.6
"26",0.52,0.32,11.3
"27",0.54,0.32,12.8
"28",0.56,0.32,11.3
"29",0.58,0.32,12.4
"30",0.6,0.32,13.7
"31",0.62,0.32,13.6
"32",0.64,0.32,16.3
"33",0.66,0.32,20
"34",0.68,0.32,20.8
"35",0.7,0.32,19
"36",0.72,0.32,21.8
"37",0.74,0.32,23.1
"38",0.76,0.32,24.7
"39",0.78,0.32,28
"40",0.8,0.32,29.5
"41",0.82,0.32,32.7
"42",0.84,0.32,35.4
"43",0.86,0.32,38.5
"44",0.88,0.32,45
"45",0.9,0.32,47.7
"46",0.92,0.32,54.5
"47",0.94,0.32,62.4
"48",0.96,0.32,75.5
"49",0.98,0.32,79.3
"","V1","V2","V3"
"1",0.02,0.34,6.5
"2",0.04,0.34,4.8
"3",0.06,0.34,3.3
"4",0.08,0.34,6.1
"5",0.1,0.34,4.6
"6",0.12,0.34,4.6
"7",0.14,0.34,5.2
"8",0.16,0.34,6
"9",0.18,0.34,5.6
"10",0.2,0.34,7.5
"11",0.22,0.34,5.1
"12",0.24,0.34,7.1
"13",0.26,0.34,6.1
"14",0.28,0.34,6.2
"15",0.3,0.34,5
"16",0.32,0.34,6.6
"17",0.34,0.34,7.4
"18",0.36,0.34,6.8
"19",0.38,0.34,9.9
"20",0.4,0.34,9.3
"21",0.42,0.34,8.1
"22",0.44,0.34,9
"23",0.46,0.34,12.3
"24",0.48,0.34,10.2
"25",0.5,0.34,13.1
"26",0.52,0.34,15.6
"27",0.54,0.34,14.2
"28",0.56,0.34,14.7
"29",0.58,0.34,13.6
"30",0.6,0.34,19.3
"31",0.62,0.34,15.6
"32",0.64,0.34,21.7
"33",0.66,0.34,21.3
"34",0.68,0.34,24
"35",0.7,0.34,21
"36",0.72,0.34,26.2
"37",0.74,0.34,29
"38",0.76,0.34,26.3
"39",0.78,0.34,31
"40",0.8,0.34,34.3
"41",0.82,0.34,36.2
"42",0.84,0.34,34.4
"43",0.86,0.34,40.1
"44",0.88,0.34,44.4
"45",0.9,0.34,49.4
"46",0.92,0.34,55.3
"47",0.94,0.34,66.6
"48",0.96,0.34,73
"49",0.98,0.34,80
"","V1","V2","V3"
"1",0.02,0.36,5
"2",0.04,0.36,4.9
"3",0.06,0.36,4.3
"4",0.08,0.36,3.4
"5",0.1,0.36,4.3
"6",0.12,0.36,4.9
"7",0.14,0.36,5.5
"8",0.16,0.36,5.7
"9",0.18,0.36,6.8
"10",0.2,0.36,6.4
"11",0.22,0.36,5.6
"12",0.24,0.36,8.6
"13",0.26,0.36,7.1
"14",0.28,0.36,5.6
"15",0.3,0.36,6.5
"16",0.32,0.36,7.2
"17",0.34,0.36,7.9
"18",0.36,0.36,9.5
"19",0.38,0.36,6.8
"20",0.4,0.36,11
"21",0.42,0.36,8.2
"22",0.44,0.36,10.2
"23",0.46,0.36,10.7
"24",0.48,0.36,13
"25",0.5,0.36,13.8
"26",0.52,0.36,14.8
"27",0.54,0.36,13.5
"28",0.56,0.36,19.3
"29",0.58,0.36,17.6
"30",0.6,0.36,21.4
"31",0.62,0.36,20.9
"32",0.64,0.36,25.8
"33",0.66,0.36,24.5
"34",0.68,0.36,26.1
"35",0.7,0.36,31.1
"36",0.72,0.36,29.6
"37",0.74,0.36,29.7
"38",0.76,0.36,31.7
"39",0.78,0.36,34.1
"40",0.8,0.36,34.9
"41",0.82,0.36,39
"42",0.84,0.36,36.9
